day,store,sales,date,week_id,price,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_1,CA1,42,1,11101,1.48,Saturday,1,1,2011,0,0,0
d_2,CA1,36,2,11101,1.48,Sunday,2,1,2011,0,0,0
d_3,CA1,30,3,11101,1.48,Monday,3,1,2011,0,0,0
d_4,CA1,23,4,11101,1.48,Tuesday,4,2,2011,1,1,0
d_5,CA1,27,5,11101,1.48,Wednesday,5,2,2011,1,0,1
d_6,CA1,34,6,11101,1.48,Thursday,6,2,2011,1,1,1
d_7,CA1,30,7,11101,1.48,Friday,7,2,2011,1,0,0
d_8,CA1,59,8,11102,1.48,Saturday,1,2,2011,1,1,1
d_9,CA1,54,9,11102,1.48,Sunday,2,2,2011,1,1,1
d_10,CA1,37,10,11102,1.48,Monday,3,2,2011,1,1,0
d_11,CA1,22,11,11102,1.48,Tuesday,4,2,2011,1,0,1
d_12,CA1,38,12,11102,1.48,Wednesday,5,2,2011,1,1,1
d_13,CA1,33,13,11102,1.48,Thursday,6,2,2011,1,0,0
d_14,CA1,38,14,11102,1.48,Friday,7,2,2011,0,1,1
d_15,CA1,55,15,11103,1.48,Saturday,1,2,2011,0,1,1
d_16,CA1,58,16,11103,1.48,Sunday,2,2,2011,0,1,0
d_17,CA1,43,17,11103,1.48,Monday,3,2,2011,0,0,1
d_18,CA1,24,18,11103,1.48,Tuesday,4,2,2011,0,1,1
d_19,CA1,33,19,11103,1.48,Wednesday,5,2,2011,0,0,0
d_20,CA1,31,20,11103,1.48,Thursday,6,2,2011,0,0,0
d_21,CA1,33,21,11103,1.48,Friday,7,2,2011,0,0,0
d_22,CA1,68,22,11104,1.48,Saturday,1,2,2011,0,0,0
d_23,CA1,57,23,11104,1.48,Sunday,2,2,2011,0,0,0
d_24,CA1,33,24,11104,1.48,Monday,3,2,2011,0,0,0
d_25,CA1,30,25,11104,1.48,Tuesday,4,2,2011,0,0,0
d_26,CA1,31,26,11104,1.48,Wednesday,5,2,2011,0,0,0
d_27,CA1,25,27,11104,1.48,Thursday,6,2,2011,0,0,0
d_28,CA1,42,28,11104,1.48,Friday,7,2,2011,0,0,0
d_29,CA1,43,29,11105,1.48,Saturday,1,2,2011,0,0,0
d_30,CA1,58,30,11105,1.48,Sunday,2,2,2011,0,0,0
d_31,CA1,31,31,11105,1.48,Monday,3,2,2011,0,0,0
d_32,CA1,28,32,11105,1.48,Tuesday,4,3,2011,1,1,0
d_33,CA1,37,33,11105,1.48,Wednesday,5,3,2011,1,0,1
d_34,CA1,37,34,11105,1.48,Thursday,6,3,2011,1,1,1
d_35,CA1,38,35,11105,1.48,Friday,7,3,2011,1,0,0
d_36,CA1,62,36,11106,1.48,Saturday,1,3,2011,1,1,1
d_37,CA1,41,37,11106,1.48,Sunday,2,3,2011,1,1,1
d_38,CA1,29,38,11106,1.48,Monday,3,3,2011,1,1,0
d_39,CA1,30,39,11106,1.48,Tuesday,4,3,2011,1,0,1
d_40,CA1,36,40,11106,1.48,Wednesday,5,3,2011,1,1,1
d_41,CA1,32,41,11106,1.48,Thursday,6,3,2011,1,0,0
d_42,CA1,56,42,11106,1.48,Friday,7,3,2011,0,1,1
d_43,CA1,41,43,11107,1.48,Saturday,1,3,2011,0,1,1
d_44,CA1,51,44,11107,1.48,Sunday,2,3,2011,0,1,0
d_45,CA1,32,45,11107,1.48,Monday,3,3,2011,0,0,1
d_46,CA1,30,46,11107,1.48,Tuesday,4,3,2011,0,1,1
d_47,CA1,18,47,11107,1.48,Wednesday,5,3,2011,0,0,0
d_48,CA1,35,48,11107,1.48,Thursday,6,3,2011,0,0,0
d_49,CA1,26,49,11107,1.48,Friday,7,3,2011,0,0,0
d_50,CA1,47,50,11108,1.48,Saturday,1,3,2011,0,0,0
d_51,CA1,67,51,11108,1.48,Sunday,2,3,2011,0,0,0
d_52,CA1,27,52,11108,1.48,Monday,3,3,2011,0,0,0
d_53,CA1,28,53,11108,1.48,Tuesday,4,3,2011,0,0,0
d_54,CA1,32,54,11108,1.48,Wednesday,5,3,2011,0,0,0
d_55,CA1,28,55,11108,1.48,Thursday,6,3,2011,0,0,0
d_56,CA1,42,56,11108,1.48,Friday,7,3,2011,0,0,0
d_57,CA1,47,57,11109,1.48,Saturday,1,3,2011,0,0,0
d_58,CA1,58,58,11109,1.48,Sunday,2,3,2011,0,0,0
d_59,CA1,30,59,11109,1.48,Monday,3,3,2011,0,0,0
d_60,CA1,29,60,11109,1.48,Tuesday,4,3,2011,0,0,0
d_61,CA1,27,61,11109,1.48,Wednesday,5,3,2011,0,0,0
d_62,CA1,47,62,11109,1.48,Thursday,6,3,2011,0,0,0
d_63,CA1,43,63,11109,1.48,Friday,7,4,2011,1,1,0
d_64,CA1,58,64,11110,1.48,Saturday,1,4,2011,1,0,1
d_65,CA1,73,65,11110,1.48,Sunday,2,4,2011,1,1,1
d_66,CA1,55,66,11110,1.48,Monday,3,4,2011,1,0,0
d_67,CA1,28,67,11110,1.48,Tuesday,4,4,2011,1,1,1
d_68,CA1,25,68,11110,1.48,Wednesday,5,4,2011,1,1,1
d_69,CA1,30,69,11110,1.48,Thursday,6,4,2011,1,1,0
d_70,CA1,36,70,11110,1.48,Friday,7,4,2011,1,0,1
d_71,CA1,60,71,11111,1.48,Saturday,1,4,2011,1,1,1
d_72,CA1,66,72,11111,1.48,Sunday,2,4,2011,1,0,0
d_73,CA1,36,73,11111,1.48,Monday,3,4,2011,0,1,1
d_74,CA1,46,74,11111,1.48,Tuesday,4,4,2011,0,1,1
d_75,CA1,20,75,11111,1.48,Wednesday,5,4,2011,0,1,0
d_76,CA1,28,76,11111,1.48,Thursday,6,4,2011,0,0,1
d_77,CA1,37,77,11111,1.48,Friday,7,4,2011,0,1,1
d_78,CA1,57,78,11112,1.48,Saturday,1,4,2011,0,0,0
d_79,CA1,69,79,11112,1.48,Sunday,2,4,2011,0,0,0
d_80,CA1,42,80,11112,1.48,Monday,3,4,2011,0,0,0
d_81,CA1,29,81,11112,1.48,Tuesday,4,4,2011,0,0,0
d_82,CA1,37,82,11112,1.48,Wednesday,5,4,2011,0,0,0
d_83,CA1,30,83,11112,1.48,Thursday,6,4,2011,0,0,0
d_84,CA1,52,84,11112,1.48,Friday,7,4,2011,0,0,0
d_85,CA1,49,85,11113,1.48,Saturday,1,4,2011,0,0,0
d_86,CA1,64,86,11113,1.48,Sunday,2,4,2011,0,0,0
d_87,CA1,29,87,11113,1.48,Monday,3,4,2011,0,0,0
d_88,CA1,24,88,11113,1.48,Tuesday,4,4,2011,0,0,0
d_89,CA1,29,89,11113,1.48,Wednesday,5,4,2011,0,0,0
d_90,CA1,31,90,11113,1.48,Thursday,6,4,2011,0,0,0
d_91,CA1,37,91,11113,1.48,Friday,7,4,2011,0,0,0
d_92,CA1,64,92,11114,1.48,Saturday,1,4,2011,0,0,0
d_93,CA1,60,93,11114,1.48,Sunday,2,5,2011,1,1,0
d_94,CA1,44,94,11114,1.48,Monday,3,5,2011,1,0,1
d_95,CA1,39,95,11114,1.48,Tuesday,4,5,2011,1,1,1
d_96,CA1,50,96,11114,1.48,Wednesday,5,5,2011,1,0,0
d_97,CA1,52,97,11114,1.48,Thursday,6,5,2011,1,1,1
d_98,CA1,45,98,11114,1.48,Friday,7,5,2011,1,1,1
d_99,CA1,61,99,11115,1.48,Saturday,1,5,2011,1,1,0
d_100,CA1,54,100,11115,1.48,Sunday,2,5,2011,1,0,1
d_101,CA1,36,101,11115,1.48,Monday,3,5,2011,1,1,1
d_102,CA1,19,102,11115,1.48,Tuesday,4,5,2011,1,0,0
d_103,CA1,28,103,11115,1.48,Wednesday,5,5,2011,0,1,1
d_104,CA1,34,104,11115,1.48,Thursday,6,5,2011,0,1,1
